Descr.breve:;;13;
Descr.lunga:;;Povo - S.Rocco - Rosmini - Piazza Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale solo il Sabato;Feriale da Lunedì a Venerdì;;;;;;;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;
Linea:;;Linea 6;Linea 3/;;Linea 3;Linea 1/;Linea 1/;Linea 3;;;;;;;;;Linea 3;Linea 1/;
Servizio:;;
gtfs trip_id;;;;0004011512023091120240611;;;;;0004011532023091120240611;0004011522023091120240611;0004011422023091120240611;0004011332023091120240611;0004011432023091120240611;0004011342023091120240611;0004011442023091120240611;0004011352023091120240611;;;0004011452023091120240611;0004011362023091120240611;0004011462023091120240611;0004011372023091120240611;0004011472023091120240611;0004011382023091120240611;0004011482023091120240611;0004011392023091120240611;0004011492023091120240611;0004011402023091120240611;0004011502023091120240611;0004011412023091120240611;
smartplanner route_id;;;;13R;;;;;13R;13R;13R;13R;13R;13R;13R;13R;;;13R;13R;13R;13R;13R;13R;13R;13R;13R;13R;13R;13R;
service_id;;;;0000000022023091120240611;;;;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;;;0004011512023091120240611;;;;;0004011532023091120240611;0004011522023091120240611;0004011422023091120240611;0004011332023091120240611;0004011432023091120240611;0004011342023091120240611;0004011442023091120240611;0004011352023091120240611;;;0004011452023091120240611;0004011362023091120240611;0004011462023091120240611;0004011372023091120240611;0004011472023091120240611;0004011382023091120240611;0004011482023091120240611;0004011392023091120240611;0004011492023091120240611;0004011402023091120240611;0004011502023091120240611;0004011412023091120240611;
Povo "Polo Sociale" Cap.;2549;;;06:57;;;;;07:40;08:18;09:00;09:40;10:20;11:00;11:40;12:20;;;13:00;13:40;14:20;15:00;15:40;16:20;17:00;17:40;18:20;19:00;19:40;20:15;
Povo Piazza Manci;187;;;06:58;;;;;07:41;08:19;09:01;09:41;10:21;11:01;11:41;12:21;;;13:01;13:41;14:21;15:01;15:41;16:21;17:01;17:41;18:21;19:01;19:41;20:16;
Povo "Centro Civico";184;;;06:59;;;;;07:42;08:20;09:02;09:42;10:22;11:02;11:42;12:22;;;13:02;13:42;14:22;15:02;15:42;16:22;17:02;17:42;18:22;19:02;19:42;20:17;
Povo Salé;216;;;06:59;;;;;07:42;08:20;09:02;09:42;10:22;11:02;11:42;12:22;;;13:02;13:42;14:22;15:02;15:42;16:22;17:02;17:42;18:22;19:02;19:42;20:17;
Gabbiolo "Campo Sportivo";47;;;07:01;;;;;07:44;08:22;09:04;09:44;10:24;11:04;11:44;12:24;;;13:04;13:44;14:24;15:04;15:44;16:24;17:04;17:44;18:24;19:04;19:44;20:19;
Villazzano Valnigra;160;;;07:02;;;;;07:45;08:23;09:05;09:45;10:25;11:05;11:45;12:25;;;13:05;13:45;14:25;15:05;15:45;16:25;17:05;17:45;18:25;19:05;19:45;20:20;
Villazzano "Chiesa";2499;;;07:03;;;;;07:46;08:24;09:06;09:46;10:26;11:06;11:46;12:26;;;13:06;13:46;14:26;15:06;15:46;16:26;17:06;17:46;18:26;19:06;19:46;20:21;
Villazzano Banala;486;;;07:04;;;;;07:47;08:25;09:07;09:47;10:27;11:07;11:47;12:27;;;13:07;13:47;14:27;15:07;15:47;16:27;17:07;17:47;18:27;19:07;19:47;20:22;
Villazzano "Villa Tambosi";476;;;07:05;;;;;07:48;08:26;09:08;09:48;10:28;11:08;11:48;12:28;;;13:08;13:48;14:28;15:08;15:48;16:28;17:08;17:48;18:28;19:08;19:48;20:23;
Ss 349 Pozzata;340;;;07:06;;;;;07:49;08:27;09:09;09:49;10:29;11:09;11:49;12:29;;;13:09;13:49;14:29;15:09;15:49;16:29;17:09;17:49;18:29;19:09;19:49;20:24;
San Rocco Piazza;227;;;07:07;;;;;07:50;08:28;09:10;09:50;10:30;11:10;11:50;12:30;;;13:10;13:50;14:30;15:10;15:50;16:30;17:10;17:50;18:30;19:10;19:50;20:25;
San Rocco Torricelle;226;;;07:08;;;;;07:51;08:29;09:11;09:51;10:31;11:11;11:51;12:31;;;13:11;13:51;14:31;15:11;15:51;16:31;17:11;17:51;18:31;19:11;19:51;20:26;
Ss 349 Pozzata;2701;;;07:09;;;;;07:52;08:30;09:12;09:52;10:32;11:12;11:52;12:32;;;13:12;13:52;14:32;15:12;15:52;16:32;17:12;17:52;18:32;19:12;19:52;20:27;
Conci De Riccabona;311;;;07:10;;;;;07:53;08:31;09:13;09:53;10:33;11:13;11:53;12:33;;;13:13;13:53;14:33;15:13;15:53;16:33;17:13;17:53;18:33;19:13;19:53;20:28;
Conci Ferrovia;313;;;07:11;;;;;07:54;08:32;09:14;09:54;10:34;11:14;11:54;12:34;;;13:14;13:54;14:34;15:14;15:54;16:34;17:14;17:54;18:34;19:14;19:54;20:29;
Menguzzato Al Casteller;385;;;07:12;;;;;07:55;08:33;09:15;09:55;10:35;11:15;11:55;12:35;;;13:15;13:55;14:35;15:15;15:55;16:35;17:15;17:55;18:35;19:15;19:55;20:30;
Menguzzato "Centro Civico";384;;;07:13;;;;;07:56;08:34;09:16;09:56;10:36;11:16;11:56;12:36;;;13:16;13:56;14:36;15:16;15:56;16:36;17:16;17:56;18:36;19:16;19:56;20:31;
Verona "Big Center";2538;;;07:14;;;;;07:57;08:35;09:17;09:57;10:37;11:17;11:57;12:37;;;13:17;13:57;14:37;15:17;15:57;16:37;17:17;17:57;18:37;19:17;19:57;20:32;
Verona "Questura";464;;;07:15;;;;;07:58;08:36;09:18;09:58;10:38;11:18;11:58;12:38;;;13:18;13:58;14:38;15:18;15:58;16:38;17:18;17:58;18:38;19:18;19:58;20:33;
Verona "S.Bartolameo";218;;;07:16;;;;;07:59;08:37;09:19;09:59;10:39;11:19;11:59;12:39;;;13:19;13:59;14:39;15:19;15:59;16:39;17:19;17:59;18:39;19:19;19:59;20:34;
Verona Einaudi;463;;;07:16;;;;;07:59;08:37;09:19;09:59;10:39;11:19;11:59;12:39;;;13:19;13:59;14:39;15:19;15:59;16:39;17:19;17:59;18:39;19:19;19:59;20:34;
Verona Fogazzaro;458;;;07:17;;;;;08:00;08:38;09:20;10:00;10:40;11:20;12:00;12:40;;;13:20;14:00;14:40;15:20;16:00;16:40;17:20;18:00;18:40;19:20;20:00;20:35;
3 Nov. "Ponte Cavalleggeri";466;;;07:19;;;;;08:02;08:40;09:22;10:02;10:42;11:22;12:02;12:42;;;13:22;14:02;14:42;15:22;16:02;16:42;17:22;18:02;18:42;19:22;20:02;20:37;
F.Lli Perini 3 Novembre;401;;;07:20;;;;;08:03;08:41;09:23;10:03;10:43;11:23;12:03;12:43;;;13:23;14:03;14:43;15:23;16:03;16:43;17:23;18:03;18:43;19:23;20:03;20:38;
Giusti "Arcivescovile";349;;;07:21;;;;;08:04;08:42;09:24;10:04;10:44;11:24;12:04;12:44;;;13:24;14:04;14:44;15:24;16:04;16:44;17:24;18:04;18:44;19:24;20:04;20:39;
Rosmini "Cimitero" / Muse;405;;;07:22;;;;;08:05;08:43;09:25;10:05;10:45;11:25;12:05;12:45;;;13:25;14:05;14:45;15:25;16:05;16:45;17:25;18:05;18:45;19:25;20:05;20:40;
Rosmini S.Maria Maggiore;406;;;07:24;;;;;08:07;08:45;09:27;10:07;10:47;11:27;12:07;12:47;;;13:27;14:07;14:47;15:27;16:07;16:47;17:27;18:07;18:47;19:27;20:07;20:42;
Piazza Dante "Pal. Regione";202;;;07:27;;;;;08:10;08:48;09:30;10:10;10:50;11:30;12:10;12:50;;;13:30;14:10;14:50;15:30;16:10;16:50;17:30;18:10;18:50;19:30;20:10;20:45;
romagnosi vannetti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
piazza dante "stazione fs";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
